Music;Slow songs or fast songs;Dance;Folk;Country;Classical_music;Musical;Pop;Rock;Metal or Hardrock;Punk;Hiphop_Rap;Reggae_Ska;Swing_Jazz;Rock_n_roll;Alternative;Latino;Techno_Trance;Opera;Movies;Horror;Thriller;Comedy;Romantic;Sci-fi;War;Fantasy/Fairy tales;Animated;Documentary;Western;Action;History;Psychology;Politics;Mathematics;Physics;Internet;PC;Economy Management;Biology;Chemistry;Reading;Geography;Foreign languages;Medicine;Law;Cars;Art exhibitions;Religion;Countryside, outdoors;Dancing;Musical instruments;Writing;Passive sport;Active sport;Gardening;Celebrities;Shopping;Science and technology;Theatre;Fun with friends;Adrenaline sports;Pets;Flying;Storm;Darkness;Heights;Spiders;Snakes;Rats;Ageing;Dangerous dogs;Fear of public speaking;Smoking;Alcohol;Healthy eating;Daily events;Prioritising workload;Writing notes;Workaholism;Thinking ahead;Final judgement;Reliability;Keeping promises;Loss of interest;Friends versus money;Funniness;Fake;Criminal damage;Decision making;Elections;Self-criticism;Judgment calls;Hypochondria;Empathy;Eating to survive;Giving;Compassion to animals;Borrowed stuff;Loneliness;Cheating in school;Health;Changing the past;God;Dreams;Charity;Number of friends;Punctuality;Lying;Waiting;New environment;Mood swings;Appearence and gestures;Socializing;Achievements;Responding to a serious letter;Children;Assertiveness;Getting angry;Knowing the right people;Public speaking;Unpopularity;Life struggles;Happiness in life;Energy levels;Small - big dogs;Personality;Finding lost valuables;Getting up;Interests or hobbies;Parents' advice;Questionnaires or polls;Internet usage;Finances;Shopping centres;Branded clothing;Entertainment spending;Spending on looks;Spending on gadgets;Spending on healthy eating;Age;Height;Weight;Number of siblings;Number of children;Gender;Left - right handed;Marital status;Education;Only child;Village - town;House - block of flats
5;4;2;1;2;3;2;2;5;4;4;2;1;2;3;4;1;1;2;5;4;5;4;3;2;2;5;4;5;2;2;2;4;2;1;1;4;3;3;2;1;5;2;4;2;2;2;3;1;4;1;1;4;5;5;1;4;3;3;5;5;4;4;2;3;1;4;2;4;3;4;5;2;I have tried;I drink way too much;3;3;3;1;2;3;1;4;5;4;5;4;1;1;3;2;4;3;1;4;2;3;4;4;3;3;3;3;1;3;1;3;Before time of meeting;Rarely;4;3;3;3;3;2;3;4;2;1;3;4;3;2;2;3;1;4;4;1;5;3;2;Most of the day;3;2;5;4;5;5;5;21;162;62;0;0;female;right-handed;single;College;yes;city;block of flats
5;5;3;3;3;4;2;4;4;2;2;2;4;3;3;3;4;3;2;5;1;3;5;4;4;3;4;5;5;2;3;4;3;2;2;2;3;2;1;3;2;5;5;5;3;2;1;2;5;5;4;2;1;1;5;3;1;4;3;3;5;4;4;2;2;2;2;3;2;2;2;2;2;I have tried;I do not drink;3;2;2;4;2;2;1;2;2;4;5;3;2;1;2;3;4;5;1;4;1;2;5;2;3;5;2;2;5;3;1;3;Just in time;Rarely;3;4;4;4;3;4;3;4;4;4;1;1;2;4;4;4;5;3;1;4;4;3;4;Few minutes;4;4;4;2;2;2;2;19;170;53;1;0;female;right-handed;single;University (Masters);no;town or village;house
4;3;4;1;3;2;3;2;2;1;1;3;3;3;2;2;4;5;4;5;4;4;5;3;3;2;4;5;4;3;5;2;1;2;5;5;5;5;3;3;3;2;3;4;2;1;5;2;2;4;1;1;1;4;1;3;2;2;5;4;5;4;3;3;2;1;4;3;4;4;3;4;4;I have tried;I do not drink;3;2;3;3;3;3;3;4;4;2;4;2;2;3;4;3;3;3;2;2;4;3;4;4;3;3;4;5;3;4;2;4;Before time of meeting;Rarely;3;4;3;4;4;3;4;4;4;2;4;5;3;3;4;3;4;3;1;3;3;4;4;Several hours;5;4;3;4;3;4;4;19;185;78;2;0;male;left-handed;single;College;no;town or village;house
5;3;2;2;2;3;1;1;5;4;3;3;3;3;4;5;3;1;1;4;5;4;4;2;3;3;2;3;4;4;2;5;5;4;2;3;4;5;2;3;1;4;3;5;2;2;1;3;1;4;1;5;1;4;3;1;1;1;5;3;5;1;3;1;1;2;5;2;2;2;3;3;4;I do smoke;I drink way too much;3;5;1;2;3;4;3;3;2;1;4;5;2;1;2;1;5;2;2;4;4;1;5;4;4;4;3;4;2;3;1;2;After time of meeting;Only for the good of others;2;5;3;4;3;3;5;2;4;2;2;5;5;2;3;2;3;3;4;5;4;2;3;Several hours;3;2;1;4;2;2;2;20;184;80;1;0;male;right-handed;single;College;no;city;block of flats
5;3;4;4;4;2;4;5;4;3;4;2;2;2;3;5;3;2;2;5;3;5;4;3;3;2;2;2;5;1;2;3;2;4;5;2;5;4;5;1;1;3;4;4;1;1;1;2;1;1;1;1;1;2;1;1;3;2;4;2;5;2;1;2;1;3;2;1;4;5;5;5;3;I have tried;I drink way too much;2;4;4;3;5;5;1;3;5;3;5;1;1;2;5;5;5;4;3;4;1;3;3;4;3;5;5;2;3;3;1;4;After time of meeting;Rarely;4;5;5;3;2;3;5;5;3;3;4;5;3;5;4;3;1;3;1;5;5;3;3;Several hours;3;1;1;3;3;3;5;19;170;56;3;0;female;right-handed;single;College;no;city;block of flats
5;3;3;4;4;4;3;4;5;2;3;3;4;2;4;3;5;1;4;5;1;4;4;4;3;5;4;5;5;3;3;5;4;3;3;3;4;4;3;4;3;5;4;5;5;3;4;3;3;4;2;1;1;3;3;4;3;3;3;4;4;1;5;3;2;3;4;5;4;3;3;4;3;I have tried;I only drink when offered;3;4;4;3;4;3;4;4;4;3;3;2;1;2;2;5;3;4;1;5;1;4;5;4;2;3;3;3;1;3;4;4;Just in time;Rarely;3;5;2;3;3;2;3;5;3;4;1;2;3;3;4;5;3;4;4;2;3;3;3;Few minutes;3;2;4;3;3;3;5;46;170;80;4;2;female;right-handed;married;College;no;city;block of flats
5;4;4;1;2;2;3;5;3;1;1;4;3;3;2;1;5;4;1;5;1;3;4;1;4;3;2;3;5;4;5;5;3;2;1;5;4;2;1;5;5;3;4;4;5;3;5;3;1;4;5;1;1;4;5;1;2;4;4;3;5;4;4;2;1;1;2;3;5;2;2;3;2;I have tried;I only drink when offered;3;2;1;2;3;2;1;3;3;4;1;4;4;5;2;1;3;5;1;4;1;1;5;4;4;5;4;5;2;3;1;3;Before time of meeting;Rarely;1;4;3;5;4;2;3;3;5;4;5;1;4;2;4;4;3;2;3;3;4;4;1;Several hours;2;4;5;2;5;4;3;18;184;83;1;0;male;right-handed;single;College;no;city;block of flats
5;3;1;1;1;1;2;3;5;5;3;2;1;1;5;3;1;1;1;4;2;2;4;3;2;2;3;4;2;1;2;2;2;1;1;3;3;2;1;4;4;1;1;4;5;1;1;1;1;3;2;1;1;3;2;2;3;5;2;4;5;2;5;2;4;5;5;5;2;1;2;5;2;I used to, but I do not anymore;I only drink when offered;3;1;3;2;2;3;1;4;3;4;3;2;1;4;2;5;3;3;1;4;2;3;5;4;3;4;3;4;1;4;2;4;After time of meeting;Rarely;3;4;4;4;4;3;3;2;4;4;2;2;3;5;4;4;1;4;4;5;3;4;3;Several hours;2;5;3;2;3;1;3;18;173;60;1;0;female;right-handed;single;College;no;city;block of flats
4;3;2;2;2;2;1;4;4;2;2;2;3;2;3;2;4;3;2;4;3;3;5;4;4;3;4;4;2;2;4;2;2;1;2;3;4;3;2;5;5;2;3;2;5;1;4;2;3;3;5;1;1;2;4;1;2;4;4;2;4;1;2;1;1;2;1;3;3;2;5;3;2;I have tried;I drink way too much;2;2;2;2;1;1;2;3;3;1;3;5;2;3;2;2;4;5;2;5;2;1;2;4;5;5;3;4;3;3;1;2;Just in time;Rarely;3;2;4;5;1;3;2;4;5;4;3;5;3;5;3;4;3;3;3;4;4;3;3;Several hours;1;5;1;2;4;2;3;19;176;62;1;0;male;right-handed;single;College;no;city;block of flats
5;3;2;1;1;1;2;3;3;1;2;3;1;1;3;1;1;4;1;5;3;3;4;4;2;3;1;1;3;1;3;1;5;3;1;3;4;2;3;2;1;1;2;3;1;3;3;1;1;1;2;2;2;4;2;1;2;2;2;2;5;3;1;2;4;4;4;5;4;4;3;4;3;I used to, but I do not anymore;I only drink when offered;3;1;1;2;1;2;1;5;5;2;2;1;1;1;5;3;5;5;1;5;1;3;2;5;3;3;4;3;2;3;1;3;Just in time;Rarely;1;3;5;4;2;2;3;3;3;4;3;4;3;5;4;2;1;2;3;5;2;3;4;Several hours;3;3;1;4;5;3;3;18;163;55;0;0;female;right-handed;single;College;yes;city;block of flats
5;3;1;1;1;2;3;4;5;4;4;4;3;1;2;1;2;1;2;5;1;2;4;5;2;2;5;5;4;1;2;1;5;2;1;2;4;4;3;2;1;5;2;4;2;1;1;1;2;3;1;1;4;2;1;3;4;3;5;2;4;1;4;4;1;1;2;5;5;4;1;3;3;I do smoke;I only drink when offered;3;5;4;4;3;4;1;5;5;1;5;3;2;4;4;3;4;5;2;5;2;4;4;3;5;2;4;4;4;3;1;4;Before time of meeting;Rarely;2;4;3;4;3;3;3;5;3;3;3;2;5;2;4;2;1;4;2;4;3;3;4;Several hours;1;3;1;1;2;2;2;18;180;74;2;0;female;right-handed;single;College;no;town or village;house
5;5;5;2;2;1;1;4;2;1;1;4;2;2;3;3;2;4;1;5;3;5;5;3;3;4;2;2;3;2;5;4;3;2;3;1;5;3;5;1;1;2;4;5;2;2;4;1;1;3;1;1;1;5;5;1;3;3;1;1;5;2;1;1;1;2;4;1;1;1;4;1;3;I do smoke;I only drink when offered;3;3;2;1;2;3;4;4;4;4;4;4;1;5;3;1;3;5;1;4;1;3;3;5;1;5;1;4;3;4;3;5;Just in time;Only for the good of others;3;4;2;5;3;3;2;3;3;3;4;4;5;1;4;5;2;3;2;1;5;4;4;Several hours;4;4;4;5;5;1;3;19;175;70;1;0;male;right-handed;single;College;no;city;block of flats
5;3;4;1;2;4;3;4;4;1;1;3;3;3;4;3;3;4;1;5;3;3;5;4;2;3;3;2;3;2;2;4;4;3;1;1;4;3;3;2;1;3;4;4;2;2;3;2;1;3;4;2;1;3;3;2;4;4;3;3;5;3;3;1;2;4;4;5;5;4;4;4;5;I used to, but I do not anymore;I drink way too much;3;3;1;1;2;3;4;4;4;3;4;3;2;3;3;3;3;3;3;4;2;2;4;4;3;3;4;3;1;3;2;3;Just in time;Rarely;3;4;3;4;4;3;3;3;2;3;4;3;2;5;3;3;4;3;4;5;5;5;1;Several hours;3;3;4;3;4;4;4;19;164;58;1;0;female;right-handed;single;College;no;city;block of flats
5;1;3;2;1;2;2;5;5;1;3;1;1;1;1;1;5;1;1;5;1;2;5;5;2;1;5;5;4;1;3;1;5;2;2;2;2;2;2;5;5;5;4;1;5;1;1;1;1;4;5;1;1;2;5;1;2;3;3;3;5;2;5;1;1;1;1;1;3;3;2;2;4;I have tried;I only drink when offered;3;3;3;2;3;2;1;3;3;1;3;4;2;1;3;2;4;3;1;4;2;2;4;4;3;3;4;2;1;3;1;3;Just in time;Rarely;3;1;3;3;3;3;2;5;3;3;4;5;5;4;4;4;1;3;5;4;3;3;3;Several hours;3;2;1;3;3;2;5;19;155;48;1;0;female;left-handed;single;University (Bachelor);no;city;house
5;3;4;2;4;3;3;5;4;1;4;3;4;4;4;2;2;2;1;5;5;4;5;4;3;3;5;5;4;3;3;2;2;3;3;2;3;4;2;3;3;2;3;3;2;2;2;4;3;3;2;5;2;3;4;2;4;3;4;4;5;2;5;2;1;2;2;2;4;3;3;3;2;I used to, but I do not anymore;I drink way too much;3;3;3;4;3;2;3;4;5;2;5;3;1;2;2;1;4;4;1;4;1;3;4;4;4;5;3;2;5;4;2;3;Just in time;Only for the good of others;4;4;3;4;3;3;2;5;5;3;4;4;4;4;4;3;5;3;3;2;4;3;1;Several hours;2;4;2;4;5;3;3;18;163;58;6;0;female;right-handed;single;College;no;city;block of flats
4;3;2;2;2;4;3;3;3;1;2;3;3;3;3;2;3;3;3;4;3;4;4;2;5;4;3;3;2;1;4;5;5;5;3;2;3;1;3;2;1;5;4;5;2;4;1;1;5;3;2;1;1;4;1;1;1;3;2;3;5;4;1;1;2;4;1;1;3;3;2;4;2;I have tried;I only drink when offered;3;4;2;5;4;5;4;3;4;1;3;2;1;2;3;2;5;5;2;5;2;4;4;4;4;4;4;2;5;3;3;2;Just in time;Only for the good of others;2;5;5;5;4;3;3;2;4;2;4;3;3;2;4;3;4;3;3;2;3;4;1;Several hours;3;3;2;2;3;1;3;18;162;54;3;0;female;right-handed;single;College;no;town or village;house
5;4;3;2;4;2;2;2;3;4;4;2;5;4;5;5;2;4;2;5;3;3;4;2;3;3;2;3;3;2;2;3;5;4;4;4;4;1;2;4;3;3;3;4;4;1;2;4;2;5;3;1;2;3;4;1;1;2;3;3;5;5;1;1;2;2;3;2;2;1;4;2;2;I have tried;I only drink when offered;5;2;3;2;3;3;3;4;4;1;5;4;4;1;3;5;3;5;1;5;1;2;5;4;4;3;3;2;3;3;2;3;After time of meeting;Rarely;3;3;3;4;3;3;4;4;3;2;3;3;5;5;3;4;3;4;3;2;3;3;3;Several hours;4;1;1;3;2;2;4;19;170;54;1;0;female;right-handed;single;College;no;city;block of flats
5;3;4;2;2;2;3;5;3;1;1;4;2;3;2;2;5;1;1;5;1;2;5;5;3;1;5;5;3;1;3;4;2;3;1;1;4;1;5;1;1;4;4;4;1;4;1;1;1;4;5;1;1;4;5;3;5;5;3;2;5;3;5;1;2;2;3;5;5;5;1;3;2;I have tried;I only drink when offered;3;4;2;4;2;3;3;4;4;3;4;2;2;2;3;5;4;3;1;4;2;5;5;5;2;5;4;3;5;3;3;4;After time of meeting;Only for the good of others;3;3;3;4;3;3;4;4;3;3;3;3;3;4;5;4;2;3;5;5;4;4;3;Several hours;3;5;5;3;4;4;5;20;157;43;1;0;female;right-handed;single;College;yes;city;block of flats
4;3;4;1;2;2;1;3;3;1;1;4;2;1;2;1;1;4;1;5;4;3;5;1;3;3;1;2;3;1;4;1;4;2;3;1;5;2;5;1;1;1;3;3;1;1;3;1;1;1;1;3;1;5;3;1;1;2;2;1;5;3;2;2;1;2;4;4;4;3;1;3;4;I do smoke;I drink way too much;3;2;2;1;1;2;1;5;3;2;3;3;3;2;4;4;4;3;3;2;3;1;2;3;3;5;2;4;1;3;1;3;After time of meeting;Always when it suits me;2;2;4;2;2;3;4;1;2;2;3;5;5;1;4;2;4;3;2;5;1;3;2;Several hours;2;1;3;2;4;4;3;19;185;70;1;0;male;right-handed;single;College;no;city;block of flats
3;2;1;3;3;3;4;1;1;1;1;1;1;1;1;1;1;1;2;4;2;2;4;4;1;1;3;3;5;1;1;5;4;5;3;3;3;3;5;5;4;5;5;5;5;4;1;5;5;4;1;4;5;1;1;3;1;1;3;5;3;1;4;5;3;3;5;4;5;4;1;4;3;I have not even tried;I only drink when offered;4;5;5;5;5;5;5;5;5;1;5;2;1;1;5;5;5;5;3;5;5;5;5;5;4;1;5;1;5;2;5;3;Before time of meeting;Never;1;1;5;2;1;1;5;5;1;3;3;5;5;5;3;3;1;3;5;1;4;5;4;Few minutes;5;2;1;2;2;1;4;26;163;55;3;0;female;left-handed;single;University (Masters);no;town or village;house
5;3;4;2;2;2;2;4;4;1;1;4;1;2;4;3;2;3;2;5;3;4;5;4;3;3;4;4;3;2;2;3;3;3;4;1;2;1;5;1;1;4;1;5;1;4;3;2;1;4;1;1;1;3;1;1;3;5;3;4;5;3;4;1;3;2;3;3;3;2;3;5;2;I do smoke;I drink way too much;3;3;5;5;5;5;2;5;5;5;5;5;3;3;5;5;5;3;2;4;1;5;5;4;2;3;4;5;2;3;2;5;After time of meeting;Rarely;2;4;3;5;5;5;4;3;1;3;5;4;3;2;5;4;1;3;5;5;3;3;3;Several hours;2;4;3;4;4;4;4;19;168;49;1;0;female;right-handed;single;College;no;town or village;house
5;3;3;3;1;2;5;3;4;2;2;2;3;3;5;2;5;1;1;5;5;5;5;4;2;1;5;5;4;1;2;2;2;1;3;2;3;2;2;5;5;5;3;3;5;2;2;1;2;4;3;1;1;2;1;2;2;3;3;5;5;2;3;1;1;2;4;4;4;1;3;2;3;I do smoke;I only drink when offered;2;3;1;3;2;5;3;4;3;1;4;5;3;2;4;1;5;5;3;4;2;4;5;4;3;5;4;3;4;3;1;3;Before time of meeting;Always when it suits me;1;2;4;3;3;2;5;5;5;3;5;5;4;4;3;3;3;3;3;4;3;3;1;Several hours;5;1;3;4;2;2;3;19;169;67;1;0;female;right-handed;single;College;yes;town or village;house
5;4;4;3;1;5;3;5;3;1;1;2;2;1;1;1;3;1;4;5;4;5;5;3;5;3;5;5;5;1;5;3;1;2;2;1;5;2;1;5;3;5;2;2;5;2;4;1;2;1;2;1;1;5;4;4;5;3;5;1;5;1;5;1;2;1;3;1;3;3;1;5;3;I have tried;I only drink when offered;3;4;1;1;2;5;3;5;5;3;5;5;2;2;5;5;3;4;1;5;3;2;2;2;3;5;5;2;4;4;1;4;Before time of meeting;Rarely;2;3;3;4;3;4;1;5;5;4;5;5;4;2;4;5;3;4;1;1;3;3;1;Several hours;1;2;3;3;5;5;5;22;178;82;1;0;male;right-handed;single;University (Bachelor);no;town or village;house
5;3;3;2;2;3;1;4;4;1;1;3;2;3;2;2;3;3;1;4;2;4;4;4;2;4;3;3;5;3;4;3;3;2;2;2;3;3;2;4;3;1;1;3;5;2;2;2;2;4;4;1;1;5;5;1;1;3;4;4;4;2;3;1;1;2;2;2;3;2;2;3;2;I have tried;I only drink when offered;5;3;4;2;4;3;4;5;4;2;4;3;2;1;3;2;4;4;1;5;2;2;4;4;1;2;4;2;4;3;2;3;Just in time;Rarely;2;4;2;4;4;4;4;4;4;2;4;3;4;3;5;4;3;3;5;2;5;4;4;Few minutes;4;4;4;4;4;2;4;20;165;65;1;0;male;right-handed;single;University (Bachelor);no;town or village;house
5;3;4;1;1;1;1;5;3;3;3;3;3;2;4;3;1;3;1;5;3;5;5;5;1;1;5;2;3;1;1;1;3;2;3;1;4;3;5;3;1;4;5;5;5;3;4;5;3;5;5;1;1;5;5;2;3;5;3;4;5;4;5;1;4;5;1;5;5;5;5;3;4;I used to, but I do not anymore;I only drink when offered;5;3;2;5;4;5;3;5;5;1;5;4;1;1;5;2;5;5;4;5;1;5;5;4;1;4;5;3;3;2;3;5;After time of meeting;Only for the good of others;2;5;2;5;5;3;4;5;3;2;5;5;3;5;5;5;3;3;2;1;4;4;1;Few minutes;3;5;5;5;5;5;5;28;180;63;2;0;female;right-handed;married;University (Masters);no;city;block of flats
5;4;2;2;1;1;5;3;4;2;2;2;3;3;5;2;5;1;1;5;5;5;5;4;2;1;5;5;4;1;2;2;2;1;2;1;3;2;2;5;5;5;3;3;5;2;2;1;2;4;3;1;1;2;1;2;2;3;3;5;5;2;3;1;1;2;4;4;4;1;3;3;3;I do smoke;I only drink when offered;2;3;2;4;2;5;3;4;4;1;4;5;3;2;5;1;5;5;3;4;2;4;5;4;3;5;4;3;3;3;1;3;Before time of meeting;Always when it suits me;2;2;3;3;3;2;5;4;5;3;5;5;4;4;3;3;3;3;3;4;3;3;1;Several hours;5;2;3;4;3;2;2;19;169;55;1;0;female;right-handed;single;College;yes;town or village;house
